01,炎狼と勇者の剣,0100,拠点情報なし,,,,,,,,,,,,,,,,,,,,,,,,
01,炎狼と勇者の剣,0101,☆オベイド遺跡,夜,-16,+16,人,+8,神,+8,獣,+8,樹,+8,海,-8,蟲,+16,炎,+8,,,,,,,
01,炎狼と勇者の剣,0102,☆テレジア王都,夜,-16,+16,人,+8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0103,☆テレジア王都防衛砦,夜,-16,+16,神,+8,獣,+16,樹,+16,蟲,+8,,,,,,,,,,,,,
01,炎狼と勇者の剣,0104,☆テレジア軍中央砦,夜,-16,+16,人,+8,獣,-8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,
01,炎狼と勇者の剣,0105,☆テレジア軍南砦,夜,-16,+16,神,+8,獣,+16,樹,+16,蟲,+8,,,,,,,,,,,,,
01,炎狼と勇者の剣,0106,☆テレジア北方観測塔,夜,-16,+16,獣,+8,樹,+8,飛,+16,,,,,,,,,,,,,,,
01,炎狼と勇者の剣,0107,☆ナセル中央平原,夜,-16,+16,人,+8,獣,+8,樹,+8,飛,+16,,,,,,,,,,,,,
01,炎狼と勇者の剣,0108,☆ラバクエ工業地帯,夜,-16,+16,人,+8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0109,アルダバ大橋,夜,-16,0,人,+8,獣,-8,器,+8,死,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0110,カッサラ工場,夜,-16,+16,人,+8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0111,ダガレフ森林,夜,-16,+16,神,+8,獣,+16,樹,+16,蟲,+8,,,,,,,,,,,,,
01,炎狼と勇者の剣,0112,デアイン,夜,-16,+16,人,+8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0113,ハルツーム,夜,-16,+16,人,+8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0114,ハルファ,夜,-16,+16,人,+8,器,+8,死,-8,蟲,-8,飛,+8,騎,+8,,,,,,,,,
01,炎狼と勇者の剣,0115,メルート平野,夜,-16,+16,獣,+8,樹,+8,飛,+16,,,,,,,,,,,,,,,
01,炎狼と勇者の剣,0116,ロズアーズ港,夜,-16,+16,人,+8,海,+24,器,+8,死,-8,炎,-8,騎,+8,,,,,,,,,
02,星神が眠る樹海,0200,拠点情報なし,,,,,,,,,,,,,,,,,,,,,,,,
02,星神が眠る樹海,0201,☆イシャン占星院別館,夜,-16,+16,魔,-16,神,+16,獣,+8,樹,+24,死,-8,毒,-16,騎,+8,,,,,,,
02,星神が眠る樹海,0202,☆カツィーナキャンプ,夜,-16,+16,獣,+16,樹,+24,蟲,+8,飛,-8,,,,,,,,,,,,,
02,星神が眠る樹海,0203,☆北リーセア砦,夜,-16,+16,獣,+16,樹,+24,蟲,+8,飛,-8,,,,,,,,,,,,,
02,星神が眠る樹海,0204,☆中央リーセア砦,夜,-16,+16,獣,+16,樹,+24,蟲,+8,飛,-8,,,,,,,,,,,,,
02,星神が眠る樹海,0205,☆西リーセア砦,夜,-16,+16,獣,+16,樹,+24,蟲,+8,飛,-8,,,,,,,,,,,,,
02,星神が眠る樹海,0206,☆妖精郷,夜,-16,+16,人,+8,魔,-16,神,+16,獣,+8,樹,+16,死,-8,毒,-16,飛,+8,騎,+8,,,
02,星神が眠る樹海,0207,アラティ結界林,夜,-16,+16,獣,+16,樹,+24,蟲,+8,飛,-8,,,,,,,,,,,,,
