0001,レギウス,武将,闇,火,デストロイヤー,120,90,75,45,12,男魔炎騎,女人飛神,軍事従事,3,S,12,マナ,22,両手,鎧,糧食,進撃,混沌,,,,,軍団活性,15,致命必殺,70,扇形攻撃,0,カブト割,35,側面攻撃,10,巨人狩り,50,神魔体躯,50,英雄覇気,15,カブト割,5,乾坤一擲,25,軍団指揮,10,ランサー,Lv2,ブラック・ブレイズ,キャスター,Lv3,サモン・サーバント,デストロイヤー,Lv3,ブラック・ストーム,キャスター,Lv3,黒の契印,ブレイダー,Lv4,ファントム・セイバー,メイン,4590,253,215,141,58,
0002,覚醒レギウス,武将,闇,火,デストロイヤー,120,110,100,50,14,男魔神炎騎超,女飛魔神竜,軍事従事,3,S,16,マナ,26,両手,鎧,糧食,進撃,混沌,,,,,軍団活性,25,致命必殺,100,十字攻撃,0,カブト割,50,巨人狩り,50,心核穿ち,50,神魔体躯,60,英雄覇気,20,カブト割,5,乾坤一擲,50,軍団指揮,15,ランサー,Lv2,ブラック・バーン,キャスター,Lv3,サモン・サーバント,デストロイヤー,Lv3,フェイトブリンガー,キャスター,Lv3,黒の契印,ブレイダー,Lv4,ファントム・ブレイズ,メイン,4590,302,278,153,63,
0003,闇の王レギウス,武将,闇,火,デストロイヤー,125,120,90,40,13,男魔死炎騎超,全,軍事従事,3,S,20,マナ,30,両手,鎧,糧食,進撃,破滅,,,,,軍団弱体,35,多段攻撃,3,全域攻撃,0,次元斬撃,50,カブト割,50,加速進化,10,神魔体躯,60,英雄覇気,20,カブト割,5,暴走攻撃,100,軍団指揮,15,ランサー,Lv2,ダーク・ブレイズ,キャスター,Lv3,ダーク・サーバント,ブレイダー,Lv3,ブラッド・セイバー,キャスター,Lv4,蝕の契印,デストロイヤー,Lv5,エクリプス,メイン,4781,327,253,128,61,
0011,イシュタル,武将,闇,,ヒーラー,105,24,24,32,18,女神夜超,全,医療従事,3,S,7,マナ,17,法衣,装飾,糧食,防備,混沌,,,,,日中適応,0,対術結界,50,遠隔攻撃,0,絶対治療,0,リバイブ,30,平等治癒,15,全域無効,0,血の起源,30,バリアー,5,師団活性,15,軍団治癒,10,ヒーラー,Lv2,紅のセラピア,キャスター,Lv1,月光のイストリア,ガーダー,Lv3,アリシアの加護,ヒーラー,Lv6,銀のプロメテイオン,キャスター,Lv6,ヴァリア・シエラ,メイン,4016,88,88,108,73,
0012,覚醒イシュタル,武将,闇,,ヒーラー,115,48,36,48,28,女神夜超,全,医療従事,3,S,14,マナ,24,法衣,装飾,糧食,防備,混沌,,,,,日中適応,0,対術結界,80,次元斬撃,30,絶対治療,0,リバイブ,50,軍団治癒,15,範囲無効,0,血の起源,50,バリアー,5,師団指揮,20,戦意高揚,100,ヒーラー,Lv2,真紅のセラピア,キャスター,Lv1,月神のイストリア,キャスター,Lv3,アリシアの賢世,ヒーラー,Lv6,黄金のプロメテイオン,キャスター,Lv6,創世のエレフセリア,メイン,4398,148,118,148,98,
0013,冥神イシュタル,武将,闇,,ヒーラー,110,72,52,48,24,女神死夜飛超,全,医療従事,3,S,18,マナ,28,法衣,装飾,糧食,防備,破滅,,,,,全域攻撃,0,対術吸収,100,次元斬撃,50,加速進化,10,リカバリ,100,範囲無効,0,神魔体躯,50,死の軍勢,40,必殺増加,10,無効喰い,40,回帰治癒,40,デストロイヤー,Lv2,漆黒のピレトス,ブレイダー,Lv3,暗黒のエクソリア,デストロイヤー,Lv3,アマルティアの刻印,ヒーラー,Lv5,闇のプロメテイオン,デストロイヤー,Lv5,終焉のタナトス,メイン,4207,208,158,148,88,
0021,アーシェラ,武将,火,,ブレイダー,110,72,72,40,8,女人炎騎,魔死飛樹氷,軍事従事,3,S,8,食料,18,片手,盾,糧食,進撃,秩序,,,,,大火炎陣,12,必殺増加,25,致命必殺,50,ブロック,40,心核穿ち,50,確率追撃,80,堅守体躯,50,師団活性,20,必殺増加,10,前進防御,0,運命改変,20,ブレイダー,Lv2,劫火槌,ランサー,Lv3,聖狼牙,キャスター,Lv4,シリウスの眼,キャスター,Lv3,太陽の盾,デストロイヤー,Lv4,星炎流舞,メイン,4207,208,208,128,48,
0022,覚醒アーシェラ,武将,火,,ブレイダー,115,80,96,50,10,女人炎騎,神死飛樹氷超,軍事従事,3,S,12,食料,22,片手,盾,糧食,進撃,秩序,,,,,大火炎陣,20,必殺増加,35,致命必殺,85,至高の盾,50,心核穿ち,100,確率追撃,100,神魔体躯,50,英雄覇気,12,必殺増加,10,前進防御,0,運命の輪,25,ブレイダー,Lv2,烈火戦槌,ランサー,Lv3,神狼牙,キャスター,Lv4,シリウスの神眼,キャスター,Lv3,太陽の神盾,デストロイヤー,Lv4,彗星炎舞,メイン,4398,228,268,153,53,
0023,悪アーシェラ,武将,火,闇,ブレイダー,110,96,80,60,6,女魔炎騎,神魔死飛樹氷,軍事従事,3,S,14,食料,24,片手,盾,糧食,進撃,秩序,,,,,超火炎砲,10,必殺増加,25,致命必殺,120,次元障壁,50,次元斬撃,50,十字攻撃,0,神魔体躯,50,師団支配,40,必殺増加,10,無効喰い,20,運命改変,30,デストロイヤー,Lv3,劫火殲滅陣,ランサー,Lv3,天魔狼爪,キャスター,Lv4,シリウスの魔眼,デストロイヤー,Lv3,獄炎の守護者,デストロイヤー,Lv5,獄焔葬,メイン,4207,268,228,178,43,
0031,ミスタリア,武将,風,,キャスター,105,32,28,24,20,女人樹,魔死飛毒,魔術従事,24,S,8,食料,18,杖,法衣,糧食,計略,秩序,,,,,解除攻撃,0,標的後逸,0,師団活性,20,大魔術陣,16,戦術補助,100,対術結界,60,遠隔攻撃,0,術式増幅,20,兵士運搬,0,魔術砲弾,10,知力弱体,40,ブレイダー,Lv2,幻影光弾,キャスター,Lv3,セフィロート,キャスター,Lv3,精霊音階,デストロイヤー,Lv4,エデンスロウ,ヒーラー,Lv5,タマリスク,メイン,4016,108,98,88,78,
