0,F,無,無のタリスマン,気合の,<< >>,必殺増加,4,4,-4,0,0,,,
0,F,無,無のタリスマン,目潰しの,<< >>,致命必殺,10,0,0,2,2,,,
0,F,無,無のタリスマン,前のめりの,<< >>,全力攻撃,5,4,0,0,-4,,,
0,F,無,無のタリスマン,守りに入る,<< >>,防御布陣,2,0,4,-4,0,,,
0,F,無,無のタリスマン,守備寄りの,<< >>,専守防衛,,-6,2,0,0,,,
0,F,無,無のタリスマン,小遣い稼ぎの,<< >>,トレハン,2,-2,0,2,1,,,
0,F,無,無のタリスマン,マジカル,<< >>,魔術放射,4,0,3,1,0,,,
0,F,無,無のタリスマン,一服盛った,<< >>,毒気放射,3,-4,0,0,3,,,
0,F,無,無のタリスマン,駆け足の,<< >>,イベイド,5,0,0,6,0,,,
0,F,無,無のタリスマン,包帯巻きの,<< >>,自己治癒,4,0,6,-3,0,,,
0,F,無,無のタリスマン,ダテメガネの,<< >>,奇襲警戒,5,0,0,-3,-2,,,
0,F,無,無のタリスマン,膝に矢受けた,<< >>,奇襲戦法,5,-6,0,-12,0,,,
0,F,無,無のタリスマン,頭に矢受けた,<< >>,暴走攻撃,5,0,-12,-6,-4,,,
0,F,無,無のタリスマン,働きたくない,<< >>,サボリ癖,,-8,-8,-8,-2,,,
1,E,力,力のタリスマン,壁ドン,<<,城壁崩し,20,16,0,0,-4,,,
1,E,力,力のタリスマン,レンガの,<<,城壁構築,20,2,6,-4,0,,,
1,E,力,力のタリスマン,投石の,<<,遠隔攻撃,,-6,0,-12,0,,,
1,E,力,力のタリスマン,タフな,<<,特攻防御,5,0,12,-20,0,,,
1,E,力,力のタリスマン,鉄拳の,<<,カブト割,5,6,0,0,-4,器,,
1,E,力,力のタリスマン,勇み足の,<<,反撃耐性,15,12,0,-16,0,,,
1,E,力,力のタリスマン,食いしばる,>>,リカバリ,5,10,0,0,1,,,
1,E,力,力のタリスマン,人間賛歌,>>,人間活性,5,2,0,2,0,,,
1,E,力,力のタリスマン,剣壊しの,>>,攻撃削減,5,4,0,-4,0,騎,,
1,E,力,力のタリスマン,盾壊しの,>>,防御削減,5,-4,4,0,0,騎,,
1,E,力,力のタリスマン,脚壊しの,>>,速度削減,5,0,0,4,-4,獣,,
1,E,力,力のタリスマン,頭壊しの,>>,知力削減,5,0,-4,0,2,魔,,
1,E,力,力のタリスマン,腹壊しの,>>,師団弱体,4,-8,-8,-8,-2,蟲,,
1,E,力,力のタリスマン,腰壊しの,>>,麻痺攻撃,2,0,4,-4,0,器,,
1,E,技,技のタリスマン,技ありの,<<,必殺増加,6,5,0,10,0,,,
1,E,技,技のタリスマン,テクニカルな,<<,側面攻撃,1,4,0,6,0,,,
1,E,技,技のタリスマン,先手必勝の,<<,速度布陣,4,2,-2,6,0,飛,,
1,E,技,技のタリスマン,アゲアゲの,<<,攻撃布陣,4,0,4,0,-2,死,,
1,E,技,技のタリスマン,倍返し,<<,報復の牙,2,6,4,0,0,,,
1,E,技,技のタリスマン,病は気から,<<,毒化攻撃,2,4,0,4,0,,,
1,E,技,技のタリスマン,鶴翼の陣,<<,守勢転化,2,0,10,0,0,人,,
1,E,技,技のタリスマン,我慢強い,<< >>,必殺耐性,5,0,4,0,0,,,
1,E,技,技のタリスマン,生存本能,<< >>,致命耐性,10,0,4,0,0,,,
1,E,技,技のタリスマン,点検ヨシ,<< >>,武具研磨,5,4,4,0,0,,,
1,E,技,技のタリスマン,軽やか,>>,パリング,5,0,-2,4,0,,,
1,E,技,技のタリスマン,回し受け,>>,ブロック,10,0,4,-2,0,,,
